Ref,Val,Package,MidX,MidY,Rotation,Side
"U25","74LVC32AD","SOIC-14_3.9mm",82.550000,-81.915000,0.000000,top
"U26","74LVC125AD","SOIC-14_3.9mm",94.615000,-99.695000,0.000000,top
"U27","AZ1117EH-3.3TRG1","SOT-223",212.450000,-125.200000,-90.000000,top
"U28","SST39SF040","DIP-32_W15.24mm_Socket_LongPads",183.007000,-91.440000,0.000000,top
"U29","74LVC574AD","SOIC-20W_7.5mm",108.585000,-82.550000,0.000000,top
"U30","74LVC574AD","SOIC-20W_7.5mm",123.825000,-82.550000,0.000000,top
"U31","74LVC574AD","SOIC-20W_7.5mm",139.065000,-82.550000,0.000000,top
"U32","74LVC574AD","SOIC-20W_7.5mm",154.305000,-82.550000,0.000000,top
"U33","74LVC574AD","SOIC-20W_7.5mm",169.545000,-82.550000,0.000000,top
"U34","74LVC32AD","SOIC-14_3.9mm",94.615000,-81.915000,0.000000,top
"U35","74LVC74AD","SOIC-14_3.9mm",169.545000,-58.420000,0.000000,top
"U36","74LVC74AD","SOIC-14_3.9mm",171.450000,-112.395000,0.000000,top
"U37","74LVC74AD","SOIC-14_3.9mm",82.550000,-99.695000,0.000000,top
"U38","74LVC574AD","SOIC-20W_7.5mm",108.585000,-52.070000,0.000000,top
"U39","74LVC574AD","SOIC-20W_7.5mm",123.825000,-52.070000,0.000000,top
"U40","74LVC574AD","SOIC-20W_7.5mm",139.065000,-52.070000,0.000000,top
"U41","74LVC574AD","SOIC-20W_7.5mm",154.305000,-52.070000,0.000000,top
"U42","74LVC32AD","SOIC-14_3.9mm",169.545000,-68.580000,0.000000,top
"Y1","12M","Crystal_HC49-SMD",206.216000,-106.669000,90.000000,top
